# time_ps avg_intrachain_contacts
160400.000000 77.9040186499
160600.000000 79.3787710453
160800.000000 77.7372247134
161000.000000 80.6849388497
161200.000000 79.9118425717
161400.000000 80.6014068232
161600.000000 79.1549049724
161800.000000 78.5468859896
162000.000000 77.4845456482
162200.000000 79.0017760038
162400.000000 79.8769762309
162600.000000 80.3338131949
162800.000000 80.2517133586
163000.000000 79.9973879828
163200.000000 81.8226434176
163400.000000 80.2571868395
163600.000000 78.6395465690
163800.000000 78.8002293092
164000.000000 79.4483653232
164200.000000 79.7785566038
164400.000000 80.0071359247
164600.000000 79.9917279555
164800.000000 79.6865741692
165000.000000 82.1942467888
165200.000000 79.8022114437
165400.000000 79.8795785032
165600.000000 77.4030466093
165800.000000 78.4048181310
166000.000000 76.6719062021
166200.000000 75.5236458233
166400.000000 75.3172546499
166600.000000 75.5722842644
166800.000000 76.6074328640
167000.000000 78.3948339689
167200.000000 77.4823111238
167400.000000 79.3799127344
167600.000000 77.7130872237
167800.000000 79.6048752219
168000.000000 78.9299797056
168200.000000 77.0570850636
168400.000000 77.0877432054
168600.000000 77.0736509646
168800.000000 76.5018073437
169000.000000 75.5550296318
169200.000000 76.7075513187
169400.000000 79.0804743139
169600.000000 77.8727180387
169800.000000 76.6281618948
170000.000000 77.2886820388
170200.000000 75.4471442143
170400.000000 76.7798958014
170600.000000 78.3067348332
170800.000000 77.5940752801
171000.000000 78.2691528647
171200.000000 77.8468071225
171400.000000 77.2482639947
171600.000000 77.6139495948
171800.000000 76.5920324013
172000.000000 77.5511505704
172200.000000 78.4214518248
172400.000000 78.1491124231
172600.000000 78.5684738396
172800.000000 78.0255844181
173000.000000 77.2712335056
173200.000000 77.8562728843
173400.000000 78.4304975970
173600.000000 76.4367791115
173800.000000 76.9062702179
174000.000000 77.1956987396
174200.000000 79.3264321739
174400.000000 80.2112894608
174600.000000 78.8721826757
174800.000000 79.9716585808
175000.000000 78.3612088784
175200.000000 80.7647021491
175400.000000 79.1790249018
175600.000000 82.5460735017
175800.000000 82.0361943052
176000.000000 81.6243223323
176200.000000 79.4999485704
